NewsOutletCountry,Theme,ActionCountry,Actor,avg(Tone)
CH,PMESII-PT-Economic ,CH,CHN,1.8517940688530719
CH,PMESII-PT-Economic ,CH,RUS,1.0939500125825743
CH,PMESII-PT-Economic ,CH,USA,-0.2533823560377112
CH,PMESII-PT-Economic ,ID,CHN,2.467393283721279
CH,PMESII-PT-Economic ,ID,RUS,-0.18974371254444122
CH,PMESII-PT-Economic ,ID,USA,-0.376074415165931
CH,PMESII-PT-Economic ,JA,CHN,-0.7505299977732427
CH,PMESII-PT-Economic ,JA,RUS,-2.8593228328973055
CH,PMESII-PT-Economic ,JA,USA,-0.9461814897327587
CH,PMESII-PT-Economic ,MY,CHN,2.821443682664061
CH,PMESII-PT-Economic ,MY,RUS,1.347376599907875
CH,PMESII-PT-Economic ,MY,USA,-1.326535802334547
CH,PMESII-PT-Economic ,RP,CHN,-3.2411666550170417
CH,PMESII-PT-Economic ,RP,USA,-2.0392558177626587
CH,PMESII-PT-Economic ,SN,CHN,2.592810821126808
CH,PMESII-PT-Economic ,SN,RUS,3.1404136419296265
CH,PMESII-PT-Economic ,SN,USA,0.30471269837741194
CH,PMESII-PT-Economic ,TW,CHN,-0.04536146239994408
CH,PMESII-PT-Economic ,TW,RUS,-5.366118431091309
CH,PMESII-PT-Economic ,TW,USA,-1.200981101451012
CH,PMESII-PT-Economic ,VM,CHN,2.468672448557984
CH,PMESII-PT-Economic ,VM,RUS,3.966575970252355
CH,PMESII-PT-Economic ,VM,USA,0.896407221754392
CH,PMESII-PT-Information ,CH,CHN,1.0876115658899275
CH,PMESII-PT-Information ,CH,RUS,1.9215330648861948
CH,PMESII-PT-Information ,CH,USA,-1.2017967863932884
CH,PMESII-PT-Information ,ID,CHN,2.227493261163299
CH,PMESII-PT-Information ,ID,USA,-0.2259517709414164
CH,PMESII-PT-Information ,JA,CHN,-1.3560826845888823
CH,PMESII-PT-Information ,JA,RUS,-2.7616998106241226
CH,PMESII-PT-Information ,JA,USA,-2.2110839440590806
CH,PMESII-PT-Information ,MY,CHN,2.6847861664635793
CH,PMESII-PT-Information ,MY,USA,-0.27280052683570166
CH,PMESII-PT-Information ,RP,CHN,-3.3889221653573274
CH,PMESII-PT-Information ,RP,RUS,-1.6534391641616821
CH,PMESII-PT-Information ,RP,USA,-2.7345954852385654
CH,PMESII-PT-Information ,SN,CHN,1.1183696137741208
CH,PMESII-PT-Information ,SN,USA,0.0825317973891894
CH,PMESII-PT-Information ,TW,CHN,-1.2637014615605449
CH,PMESII-PT-Information ,TW,USA,-1.939074912043505
CH,PMESII-PT-Information ,VM,CHN,1.7566688166096294
CH,PMESII-PT-Information ,VM,RUS,0.7718088924884796
CH,PMESII-PT-Information ,VM,USA,1.25
CH,PMESII-PT-Infrastructure,CH,CHN,1.212600098164899
